year;area km²
2008;12,445.42
2009;5,901.66
2010;5,842.88
2011;5,400.42
2012;4,128.45
2013;5,153.05
2014;4,873.57
2015;5,907.19
2016;7,077.09
2017;6,752.45
2018;6,945.01
2019;10,698.71
2020;10,348.74
2021;12,187.93
